collocate,raw_frequency,MI
heart,2,3.8537750751139006
soul,1,4.766057785590517
although,1,4.7268370724372355
certain,1,4.806879780110772
pride,1,4.766057785590517
dozen,1,5.587038337660347
copies,1,7.068642878584562
what,3,3.3214945163466503
happened,1,5.276883409356508
afterwards,2,5.874720410112128
cannot,2,4.736498983348972
tell,2,3.903167830443477
crying,1,5.419984252997181
there,5,3.9040120685687576
are,1,2.730045801838017
times,1,4.27136154375441
nothing,1,3.615485757991696
else,1,5.014519144889016
any,3,3.9216211574843456
good,1,2.8520806836382127
appear,1,6.4808562136824435
so,3,2.767284146978136
me,9,3.289516546622848
walked,1,5.542586575089513
briskly,1,7.984933610458718
an,4,4.159013304083984
omnibus,1,8.678080791018663
ill,1,5.276883409356508
afford,1,5.970030589916453
cab,1,5.787709033122498
it,4,2.2256375925392717
she,9,3.77198330582877
would,3,3.218495276874504
truth,1,4.940411172735295
did,1,2.7618787284112276
being,1,3.722253733417402
treated,1,6.886321321790608
baby,1,5.500026960670717
full,1,3.9685505897063287
been,3,3.6368085274605173
shed,1,5.905492068778882
around,1,4.652729100283514
sorrow,1,5.382243925014334
had,1,1.3470204858000305
bedewed,1,7.984933610458718
track,1,5.844867446962446
intercourse,1,7.5794685023505535
happy,1,4.9645087243143555
harmless,1,7.291786429898773
people,2,5.564565481808288
unmerited,1,7.5794685023505535
kindness,1,5.733641811852222
listened,1,5.844867446962446
mouse,1,8.678080791018663
even,4,4.150872146500284
rat,1,7.984933610458718
much,2,3.628224783769126
him,5,3.4951742759819537
have,3,2.7827601044635832
welcome,1,7.068642878584562
then,1,2.4959958843020313
repeater,1,7.291786429898773
purposely,1,7.5794685023505535
never,4,3.9663008699723132
used,1,4.473388171627697
see,1,2.7975478046179627
glow,1,6.375495698024618
above,1,4.9645087243143555
peaks,1,7.984933610458718
possibility,1,7.068642878584562
home,1,3.890589048236617
saw,1,3.628224783769126
should,3,4.149071965996136
said,1,3.248735162064222
things,2,4.473388171627697
run,1,4.989201336904727
grain,1,7.5794685023505535
if,3,3.190521424832098
anything,3,5.500026960670717
sure,2,4.167221284501813
hate,8,7.231161808082337
affectation,2,9.371227971578609
difference,1,5.587038337660347
between,1,4.3473474507323315
us,2,3.6910553625615408
probably,1,5.4592049661504625
patrolling,1,8.678080791018663
afternoon,1,5.500026960670717
his,2,2.0200697451479144
mistress,1,5.905492068778882
how,4,4.090565540269292
such,1,3.205810117347188
low,1,4.334275369164979
ingratitude,1,7.984933610458718
animal,1,7.291786429898773
serve,1,6.886321321790608
body,1,5.151720266402502
tenth,1,7.291786429898773
part,1,4.519197707658991
intensity,2,9.371227971578609
can,3,4.002141534142364
t,2,3.117399160003135
loathe,3,9.083545899126827
abhor,3,9.083545899126827
one,3,3.2213361878761075
lightly,2,6.806278614117072
hardly,2,5.587038337660347
ever,2,3.841798884067185
reconciled,1,7.5794685023505535
or,1,2.4089845073124017
suppress,1,7.984933610458718
count,1,6.193174141230663
minor,1,7.984933610458718
virtue,1,7.291786429898773
albeit,1,6.280185518220292
be,5,3.287184243177533
sulky,1,7.068642878584562
heavy,2,5.4009360580264865
burden,2,7.7617900591445075
scorn,2,6.426788992412168
which,2,2.933476321842207
women,2,6.075391105574279
beneath,1,5.276883409356508
them,1,2.453522361743303
isola,1,3.750827105861458
knows,1,4.488426048992237
perhaps,1,3.857799225413626
will,1,2.4898166679360734
bygone,1,7.5794685023505535
bliss,1,6.886321321790608
woe,1,7.5794685023505535
stanchest,1,8.678080791018663
deadliest,1,7.984933610458718
less,1,4.670747605786192
eloquent,1,7.984933610458718
fly,1,5.382243925014334
whom,2,4.940411172735295
spider,1,7.984933610458718
has,2,3.955127569374188
atom,1,7.068642878584562
must,3,4.046593296713199
oh,4,4.89958917821504
let,1,3.3747758829595873
little,1,2.435857525563498
inn,1,6.598639249338827
locanda,1,8.678080791018663
called,1,3.9073961665529984
interlarding,1,8.678080791018663
addressed,1,6.280185518220292
myself,1,3.4050812324549162
right,1,3.7152361607587556
heartily,1,6.598639249338827
business,1,5.310784961032189
early,1,5.4592049661504625
infancy,1,8.678080791018663
cousin,1,5.276883409356508
lepardo,1,4.652729100283514
della,1,4.871418301248343
croce,1,4.893891157100402
cried,2,5.228093245187075
fiordalisa,2,6.806278614117072
clasping,2,8.272615682910498
hands,2,4.860368465061758
piteously,2,8.272615682910498
ah,2,5.328176703744058
madonna,2,7.291786429898773
thank,1,4.600543347112944
our,1,3.0255916107500123
lady,1,4.093113312348091
no,1,1.8613449104236945
seen,1,3.986732908789519
upon,1,2.699195026117541
signor,1,4.635029523184112
dezio,1,5.905492068778882
come,1,2.9676537736437933
light,1,3.7877316627969093
prematurely,1,8.678080791018663
also,1,5.040494631292277
talked,1,6.113131433557126
about,1,3.075961970138962
among,1,4.583736228796562
despise,1,6.73217064196335
clung,1,6.4808562136824435
once,1,3.316788625309238
ought,1,5.014519144889016
yet,1,3.524789196520884
help,1,4.387621349870272
loving,1,4.989201336904727
died,1,5.2123448882189365
next,1,4.259240183222065
general,1,6.375495698024618
rule,1,7.068642878584562
over,2,3.9776004252262465
grateful,1,6.73217064196335
race,1,5.542586575089513
we,1,2.3430265395206042
under,1,3.8989572979071334
obligation,1,7.291786429898773
often,1,4.53494606462713
illustrate,1,7.984933610458718
use,1,5.181573229552183
scented,1,7.5794685023505535
eau,1,7.984933610458718
de,1,6.598639249338827
cologne,1,7.984933610458718
stuff,1,6.193174141230663
they,1,2.1312953802581394
sell,1,6.039023461403405
very,1,2.6498022707879647
odd,1,6.113131433557126
why,1,3.6542002701723866
ground,1,5.419984252997181
whispered,1,5.587038337660347
deep,2,5.1227327295292495
sigh,2,6.598639249338827
you,5,2.6565721225623045
clara,3,4.27136154375441
darling,2,4.786260492908037
because,2,4.519197707658991
got,1,3.833893704560072
sobbing,1,6.886321321790608
great,1,3.2443587874644235
muff,1,6.886321321790608
dog,1,3.995949563894443
judy,1,4.689096744454389
get,1,4.27136154375441
out,1,2.8374391336452645
way,1,3.590484455786279
judicious,1,7.984933610458718
avenue,1,6.113131433557126
looked,1,3.7877316627969093
